page_content,name,character,cost,rarity,type
Deal 6 damage. || Upgraded: Deal 9 damage.,Strike,All,1,Basic,Attack
Gain 5 Block. || Upgraded: Gain 8 Block.,Defend,All,1,Basic,Skill
Deal 8 damage. Apply 2 Vulnerable. || Upgraded: Deal 10 damage. Apply 3 Vulnerable.,Bash,Ironclad,2,Basic,Attack
Deal 3 damage. Apply 1 Weak. || Upgraded: Deal 4 damage. Apply 2 Weak.,Neutralize,Silent,0,Basic,Attack
Gain 8 Block. Discard 1 card. || Upgraded: Gain 11 Block. Discard 1 card.,Survivor,Silent,1,Basic,Skill
Channel 1 Lightning. || Upgraded: Channel 1 Lightning. Costs 0.,Zap,Defect,1,Basic,Skill
Evoke your next Orb. || Upgraded: Evoke your next Orb twice.,Dualcast,Defect,1,Basic,Skill
Deal 9 damage. Enter Wrath. || Upgraded: Costs 1. Deal 9 damage. Enter Wrath.,Eruption,Watcher,2,Basic,Attack
Enter Calm. Gain 8 Block. || Upgraded: Enter Calm. Gain 12 Block.,Vigilance,Watcher,2,Basic,Skill
Deal 6 damage. Add a copy of this card to your discard pile. || Upgraded: Deal 8 damage. Add a copy of this card to your discard pile.,Anger,Ironclad,0,Common,Attack
Gain 5 Block. Upgrade a card in your hand for the rest of combat. || Upgraded: Gain 5 Block. Upgrade ALL cards in your hand for the rest of combat.,Armaments,Ironclad,1,Common,Skill
Deal damage equal to your Block. || Upgraded: Deal damage equal to your Block. Costs 0.,Body Slam,Ironclad,1,Common,Attack
Can only be played if every card in your hand is an Attack. Deal 14 damage. || Upgraded: Can only be played if every card in your hand is an Attack. Deal 18 damage.,Clash,Ironclad,0,Common,Attack
Deal 8 damage to ALL enemies. || Upgraded: Deal 11 damage to ALL enemies.,Cleave,Ironclad,1,Common,Attack
Deal 12 damage. Apply 2 Weak. || Upgraded: Deal 14 damage. Apply 3 Weak.,Clothesline,Ironclad,2,Common,Attack
Gain 2 Strength. At the end of your turn, lose 2 Strength. || Upgraded: Gain 4 Strength. At the end of your turn, lose 4 Strength.,Flex,Ironclad,0,Common,Skill
Play the top card of your draw pile and Exhaust it. || Upgraded: Play the top card of your draw pile and Exhaust it. Costs 0.,Havoc,Ironclad,1,Common,Skill
Deal 9 damage. Put a card from your discard pile on top of your draw pile. || Upgraded: Deal 12 damage. Put a card from your discard pile on top of your draw pile.,Headbutt,Ironclad,1,Common,Attack
Deal 14 damage. Strength affects Heavy Blade 3 times. || Upgraded: Deal 14 damage. Strength affects Heavy Blade 5 times.,Heavy Blade,Ironclad,2,Common,Attack
Gain 5 Block. Deal 5 damage. || Upgraded: Gain 7 Block. Deal 7 damage.,Iron Wave,Ironclad,1,Common,Attack
Deal 6 damage. Deals an additional 2 damage for ALL of your cards containing "Strike". || Upgraded: Deal 6 damage. Deals an additional 3 damage for ALL of your cards containing "Strike".,Perfected Strike,Ironclad,2,Common,Attack
Deal 9 damage. Draw 1 card. || Upgraded: Deal 10 damage. Draw 2 cards.,Pommel Strike,Ironclad,1,Common,Attack
Gain 8 Block. Draw 1 card. || Upgraded: Gain 11 Block. Draw 1 card.,Shrug It Off,Ironclad,1,Common,Skill
Deal 3 damage to a random enemy 3 times. || Upgraded: Deal 3 damage to a random enemy 4 times.,Sword Boomerang,Ironclad,1,Common,Attack
Deal 4 damage and apply 1 Vulnerable to ALL enemies. || Upgraded: Deal 7 damage and apply 1 Vulnerable to ALL enemies.,Thunderclap,Ironclad,1,Common,Attack
Gain 7 Block. Exhaust a random card from your hand. || Upgraded: Gain 9 Block. Exhaust a card from your hand.,True Grit,Ironclad,1,Common,Skill
Deal 5 damage twice. || Upgraded: Deal 7 damage twice.,Twin Strike,Ironclad,1,Common,Attack
Draw 1 card. Place a card from your hand on top of your draw pile. || Upgraded: Draw 2 cards. Place a card from your hand on top of your draw pile.,War Cry,Ironclad,0,Common,Skill
Deal 12 damage. Shuffle a Wound into your draw pile. || Upgraded: Deal 17 damage. Shuffle a Wound into your draw pile.,Wild Strike,Ironclad,1,Common,Attack
Draw 3 cards. You cannot draw additional cards this turn. || Upgraded: Draw 4 cards. You cannot draw additional cards this turn.,Battle Trance,Ironclad,0,Uncommon,Skill
Costs 1 less for each time you lose HP this combat. Deal 18 damage. || Upgraded: Costs 1 less for each time you lose HP this combat. Deal 22 damage.,Blood for Blood,Ironclad,4,Uncommon,Attack
Lose 3 HP. Gain 2 Energy. || Upgraded: Lose 3 HP. Gain 3 Energy.,Bloodletting,Ironclad,0,Uncommon,Skill
